,transcript,Wormbase_id,type
294,K08D9.3b,WBGene00000168,non coding transcript
295,K08D9.3e.1,WBGene00000168,Coding transcript
296,K08D9.3f.1,WBGene00000168,Coding transcript
297,K08D9.3a.1,WBGene00000168,Coding transcript
298,F32A5.5a.1,WBGene00000169,Coding transcript
299,F32A5.5b.1,WBGene00000169,Coding transcript
300,C01G6.1b.1,WBGene00000170,Coding transcript
301,C01G6.1b.2,WBGene00000170,Coding transcript
302,C01G6.1a.1,WBGene00000170,Coding transcript
303,Y69E1A.7a.1,WBGene00000171,Coding transcript
304,Y69E1A.7b.1,WBGene00000171,Coding transcript
305,Y69E1A.7c.1,WBGene00000171,Coding transcript
306,F40F9.9.1,WBGene00000172,Coding transcript
307,C35A5.1.1,WBGene00000173,Coding transcript
308,C32C4.2c.1,WBGene00000174,Coding transcript
309,C32C4.2a.1,WBGene00000174,Coding transcript
310,C32C4.2b.1,WBGene00000174,Coding transcript
311,M02F4.8a.1,WBGene00000175,Coding transcript
312,M02F4.8a.2,WBGene00000175,Coding transcript
313,M02F4.8b.1,WBGene00000175,Coding transcript
314,K02G10.7a.1,WBGene00000176,Coding transcript
315,K02G10.7c.1,WBGene00000176,Coding transcript
316,K02G10.7d.1,WBGene00000176,Coding transcript
317,K02G10.7b.1,WBGene00000176,Coding transcript
318,K02G10.7b.2,WBGene00000176,Coding transcript
319,K07A1.16a.1,WBGene00000177,Coding transcript
320,K07A1.16a.2,WBGene00000177,Coding transcript
321,K07A1.16b.1,WBGene00000177,Coding transcript
322,ZK1321.3.1,WBGene00000178,Coding transcript
323,ZK525.2.1,WBGene00000179,Coding transcript
324,ZK1320.6.1,WBGene00000180,Coding transcript
325,F01G4.2b.1,WBGene00000181,Coding transcript
326,F01G4.2a.1,WBGene00000181,Coding transcript
327,B0336.2.1,WBGene00000182,Coding transcript
328,B0336.2.2,WBGene00000182,Coding transcript
329,F57H12.1.1,WBGene00000183,Coding transcript
330,Y116A8C.12.1,WBGene00000184,Coding transcript
331,F31A9.3.1,WBGene00000185,Coding transcript
332,C01C7.1b.1,WBGene00000186,Coding transcript
333,C01C7.1a.1,WBGene00000186,Coding transcript
334,F54C9.10.1,WBGene00000187,Coding transcript
335,F19H8.3.1,WBGene00000188,Coding transcript
336,ZK632.8.1,WBGene00000189,Coding transcript
337,F45E4.1.1,WBGene00000190,Coding transcript
338,F20D1.5,WBGene00000191,Pseudogene
339,Y57G11C.13.1,WBGene00000192,Coding transcript
340,C38D4.8.1,WBGene00000193,Coding transcript
341,nan,WBGene00000194,nan
342,F53H8.2.1,WBGene00000195,Coding transcript
343,W02B12.6b,WBGene00000196,non coding transcript
344,W02B12.6a.1,WBGene00000196,Coding transcript
345,F28H1.3.1,WBGene00000197,Coding transcript
346,F28H1.3.2,WBGene00000197,Coding transcript
347,C15F1.6.1,WBGene00000198,Coding transcript
348,Y71F9AL.16.1,WBGene00000199,Coding transcript
349,K07C5.1.1,WBGene00000200,Coding transcript
350,Y79H2A.6a.1,WBGene00000201,Coding transcript
351,Y79H2A.6b.1,WBGene00000201,Coding transcript
352,Y6D11A.1.1,WBGene00000202,Coding transcript
353,Y37D8A.1.1,WBGene00000203,Coding transcript
354,C35D10.16.1,WBGene00000204,Coding transcript
355,M01B12.3.1,WBGene00000205,Coding transcript
356,F35G12.10.1,WBGene00000206,Coding transcript
357,F02E8.1.1,WBGene00000207,Coding transcript
358,F02E8.1.2,WBGene00000207,Coding transcript
359,Y53F4B.15.1,WBGene00000208,Coding transcript
360,K07A12.3.1,WBGene00000209,Coding transcript
361,C53B7.4.1,WBGene00000210,Coding transcript
362,B0252.2.1,WBGene00000211,Coding transcript
363,ZK455.4.1,WBGene00000212,Coding transcript
364,W03G1.7a.1,WBGene00000213,Coding transcript
365,W03G1.7b.1,WBGene00000213,Coding transcript
366,Y39B6A.20.1,WBGene00000214,Coding transcript
367,T18H9.2.1,WBGene00000215,Coding transcript
368,H22K11.1.1,WBGene00000216,Coding transcript
369,R12H7.2.1,WBGene00000217,Coding transcript
370,F21F8.3.1,WBGene00000218,Coding transcript
371,F21F8.7.1,WBGene00000219,Coding transcript
372,K08F8.2.1,WBGene00000220,Coding transcript
373,T04C10.4.1,WBGene00000221,Coding transcript
374,F45E6.2.1,WBGene00000222,Coding transcript
375,C07G2.2a.1,WBGene00000223,Coding transcript
376,C07G2.2b.1,WBGene00000223,Coding transcript
377,C07G2.2b.2,WBGene00000223,Coding transcript
378,C07G2.2c.1,WBGene00000223,Coding transcript
379,C07G2.2d.1,WBGene00000223,Coding transcript
380,C07G2.2d.2,WBGene00000223,Coding transcript
381,C07G2.2d.3,WBGene00000223,Coding transcript
382,C07G2.2d.4,WBGene00000223,Coding transcript
383,F26D10.9a.1,WBGene00000224,Coding transcript
384,F26D10.9b.1,WBGene00000224,Coding transcript
385,C38C6.2c.1,WBGene00000225,Coding transcript
386,C38C6.2b.1,WBGene00000225,Coding transcript
387,C38C6.2a.1,WBGene00000225,Coding transcript
388,T06E4.3c.1,WBGene00000226,Coding transcript
389,T06E4.3a.1,WBGene00000226,Coding transcript
390,T06E4.3a.2,WBGene00000226,Coding transcript
391,Y48G1BL.2b.1,WBGene00000227,Coding transcript
392,Y48G1BL.2a.1,WBGene00000227,Coding transcript
393,W04D2.1a.1,WBGene00000228,Coding transcript
394,W04D2.1b.1,WBGene00000228,Coding transcript
395,W04D2.1d.1,WBGene00000228,Coding transcript
396,W04D2.1c.1,WBGene00000228,Coding transcript
397,C34E10.6.1,WBGene00000229,Coding transcript
398,C34E10.6.2,WBGene00000229,Coding transcript
399,F27C1.7a.1,WBGene00000230,Coding transcript
400,F27C1.7a.2,WBGene00000230,Coding transcript
401,F27C1.7a.3,WBGene00000230,Coding transcript
402,F27C1.7a.4,WBGene00000230,Coding transcript
403,F27C1.7b.1,WBGene00000230,Coding transcript
404,D2045.1c.1,WBGene00000231,Coding transcript
405,D2045.1d.1,WBGene00000231,Coding transcript
406,D2045.1b.1,WBGene00000231,Coding transcript
407,D2045.1a.1,WBGene00000231,Coding transcript
408,B0207.12b.1,WBGene00000232,Coding transcript
409,B0207.12c.1,WBGene00000232,Coding transcript
410,B0207.12a.1,WBGene00000232,Coding transcript
411,B0207.12a.2,WBGene00000232,Coding transcript
412,B0207.12a.3,WBGene00000232,Coding transcript
413,R11G10.1c.1,WBGene00000233,Coding transcript
414,R11G10.1b.1,WBGene00000233,Coding transcript
415,R11G10.1a.1,WBGene00000233,Coding transcript
416,nan,WBGene00000234,nan
417,B0464.7.1,WBGene00000235,Coding transcript
418,F57B10.11.1,WBGene00000236,Coding transcript
419,Y71F9AR.1.1,WBGene00000237,Coding transcript
420,C54D1.6.1,WBGene00000238,Coding transcript
421,C05D2.4a.1,WBGene00000239,Coding transcript
422,C05D2.4b.1,WBGene00000239,Coding transcript
423,K08F8.4a.1,WBGene00000240,Coding transcript
424,K08F8.4b.1,WBGene00000240,Coding transcript
425,Y105E8A.5.1,WBGene00000241,Coding transcript
426,F20D12.3.1,WBGene00000242,Coding transcript
427,nan,WBGene00000243,nan
428,T25F10.5.1,WBGene00000244,Coding transcript
429,T13C5.5.1,WBGene00000245,Coding transcript
430,M7.3.1,WBGene00000246,Coding transcript
431,T19E7.3a.1,WBGene00000247,Coding transcript
432,T19E7.3b.1,WBGene00000247,Coding transcript
433,C54C6.2.1,WBGene00000248,Coding transcript
434,T27F2.3.1,WBGene00000249,Coding transcript
435,T27F2.3.2,WBGene00000249,Coding transcript
436,C50B8.2.1,WBGene00000250,Coding transcript
437,C09G5.6.1,WBGene00000251,Coding transcript
438,F59E12.12.1,WBGene00000252,Coding transcript
439,F56C11.1.1,WBGene00000253,Coding transcript
440,F56C11.1.2,WBGene00000253,Coding transcript
441,K04F10.4i.1,WBGene00000254,Coding transcript
442,K04F10.4j.1,WBGene00000254,Coding transcript
443,K04F10.4h.1,WBGene00000254,Coding transcript
444,K04F10.4g.1,WBGene00000254,Coding transcript
445,K04F10.4f.1,WBGene00000254,Coding transcript
446,K04F10.4d.1,WBGene00000254,Coding transcript
447,K04F10.4d.2,WBGene00000254,Coding transcript
448,K04F10.4a.1,WBGene00000254,Coding transcript
449,K04F10.4c.1,WBGene00000254,Coding transcript
450,K04F10.4e.1,WBGene00000254,Coding transcript
451,K04F10.4b.1,WBGene00000254,Coding transcript
452,F45G2.5.1,WBGene00000255,Coding transcript
453,Y73B6BL.34.1,WBGene00000256,Coding transcript
454,F23B12.8a.1,WBGene00000257,Coding transcript
455,F23B12.8b.1,WBGene00000257,Coding transcript
456,F13H8.10b.1,WBGene00000259,Coding transcript
457,F13H8.10c.1,WBGene00000259,Coding transcript
458,F13H8.10c.2,WBGene00000259,Coding transcript
459,F13H8.10c.3,WBGene00000259,Coding transcript
460,F13H8.10c.4,WBGene00000259,Coding transcript
461,F13H8.10c.5,WBGene00000259,Coding transcript
462,F13H8.10c.6,WBGene00000259,Coding transcript
463,F13H8.10a.1,WBGene00000259,Coding transcript
464,nan,WBGene00000260,nan
465,nan,WBGene00000261,nan
466,F54B11.6.1,WBGene00000262,Coding transcript
467,F23H11.5.1,WBGene00000263,Coding transcript
468,C36A4.8b.1,WBGene00000264,Coding transcript
469,C36A4.8c.1,WBGene00000264,Coding transcript
470,C36A4.8a.1,WBGene00000264,Coding transcript
471,K04C2.4.1,WBGene00000265,Coding transcript
472,C53B4.7b.1,WBGene00000266,Coding transcript
473,C53B4.7a.1,WBGene00000266,Coding transcript
474,C53B4.7e.1,WBGene00000266,Coding transcript
475,C53B4.7c.1,WBGene00000266,Coding transcript
476,C53B4.7d.1,WBGene00000266,Coding transcript
477,Y39E4B.9c.1,WBGene00000267,Coding transcript
478,Y39E4B.9d.1,WBGene00000267,Coding transcript
479,Y39E4B.9b.1,WBGene00000267,Coding transcript
480,Y39E4B.9a.1,WBGene00000267,Coding transcript
481,Y39E4B.9a.2,WBGene00000267,Coding transcript
482,B0464.4b,WBGene00000268,non coding transcript
483,B0464.4a.1,WBGene00000268,Coding transcript
484,B0464.4a.2,WBGene00000268,Coding transcript
485,B0464.4a.3,WBGene00000268,Coding transcript
486,Y73E7A.7a.1,WBGene00000269,Coding transcript
487,Y73E7A.7a.2,WBGene00000269,Coding transcript
488,Y73E7A.7b.1,WBGene00000269,Coding transcript
489,T12G3.8b.1,WBGene00000270,Coding transcript
490,T12G3.8a.1,WBGene00000270,Coding transcript
491,F45E12.2a.1,WBGene00000271,Coding transcript
492,F45E12.2b.1,WBGene00000271,Coding transcript
493,F56A3.5.1,WBGene00000272,Coding transcript
494,Y79H2A.1a.1,WBGene00000273,Coding transcript
495,Y79H2A.1c.1,WBGene00000273,Coding transcript
496,F15D4.1.1,WBGene00000274,Coding transcript
497,R06C7.8.1,WBGene00000275,Coding transcript
498,F57B9.5.1,WBGene00000276,Coding transcript
499,C23H4.1.1,WBGene00000277,Coding transcript
500,C23H4.1.2,WBGene00000277,Coding transcript
501,nan,WBGene00000278,nan
502,F54D8.4b.1,WBGene00000279,Coding transcript
503,F54D8.4a.1,WBGene00000279,Coding transcript
504,D1022.8.1,WBGene00000280,Coding transcript
505,K05G3.3.1,WBGene00000281,Coding transcript
506,R01E6.3b.1,WBGene00000282,Coding transcript
507,R01E6.3a.1,WBGene00000282,Coding transcript
508,R173.1.1,WBGene00000283,Coding transcript
509,T28F2.3.1,WBGene00000284,Coding transcript
510,T28F2.3.2,WBGene00000284,Coding transcript
511,C13C12.1b.1,WBGene00000285,Coding transcript
512,C13C12.1a.1,WBGene00000285,Coding transcript
513,C18E9.1.1,WBGene00000286,Coding transcript
514,M02B7.6b.1,WBGene00000287,Coding transcript
515,M02B7.6a.1,WBGene00000287,Coding transcript
516,T07G12.1b.1,WBGene00000288,Coding transcript
517,T07G12.1b.2,WBGene00000288,Coding transcript
518,T07G12.1a.1,WBGene00000288,Coding transcript
519,T07G12.1c.1,WBGene00000288,Coding transcript
520,C01G6.8a.1,WBGene00000289,Coding transcript
521,C01G6.8b.1,WBGene00000289,Coding transcript
522,C01G6.8c.1,WBGene00000289,Coding transcript
523,C01G6.8c.2,WBGene00000289,Coding transcript
524,nan,WBGene00000290,nan
525,nan,WBGene00000291,nan
526,D2024.6.1,WBGene00000292,Coding transcript
527,M106.5.1,WBGene00000293,Coding transcript
528,F41G4.2b.1,WBGene00000294,Coding transcript
529,F41G4.2a.1,WBGene00000294,Coding transcript
530,W01C8.6.1,WBGene00000295,Coding transcript
531,W01C8.6.2,WBGene00000295,Coding transcript
532,B0432.5a.1,WBGene00000296,Coding transcript
533,B0432.5b.1,WBGene00000296,Coding transcript
534,B0432.5c.1,WBGene00000296,Coding transcript
535,nan,WBGene00000297,nan
536,F32G8.6.1,WBGene00000298,Coding transcript
